Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Delay_Group
-0.12757944518919542,12,-0.10889446514179804,-0.7427220123043161,-0.11888980330517403,-0.14632252916296304,-0.1456442727844798,4,-1.2148275888487834,403,2022.0,2,809.98,0.5387231037578663,181,1,-0.1677295059613332,18263,6,3303,0
-0.12610818533196297,12,-0.10889446514179804,-0.7427220123043161,-0.11888980330517403,-0.14632252916296304,-0.1456442727844798,4,-1.2148275888487834,429,4.0,2,809.98,0.151489442598086,172,1,-0.1677295059613332,16074,2,28580,0
-0.12610818533196297,12,-0.10889446514179804,-0.7427220123043161,-0.11888980330517403,-0.14632252916296304,-0.1456442727844798,4,-1.4840020893869392,335,4.0,2,809.98,0.3000894979010603,-1,1,-0.1677295059613332,8905,5,11696,0
-0.12610818533196297,12,-0.10889446514179804,-0.31546278637163605,-0.11888980330517403,-0.14632252916296304,-0.1456442727844798,4,-1.1475339637142445,380,4.0,2,809.98,0.029567640686192973,182,1,-0.1677295059613332,26741,2,26181,0
-0.12022314590303312,15,-0.09725668471171574,-0.3318282885853569,-0.12748118714282228,-0.14632252916296304,-0.1390011941676957,1,-1.2148275888487834,8,5.0,2,605.03,-1.2441298822855968,235,1,-0.17130794968530333,26848,1,38450,0
-0.12022314590303312,13,-0.09725668471171574,-0.3318282885853569,-0.12748118714282228,-0.14632252916296304,-0.1390011941676957,1,-1.2148275888487834,250,5.0,2,605.03,-0.4236000002125264,236,1,-0.17130794968530333,19436,4,19483,0
-0.12022314590303312,13,-0.09725668471171574,-0.3318282885853569,-0.12748118714282228,-0.14632252916296304,-0.1390011941676957,1,-1.2148275888487834,-1,5.0,1,605.03,-0.25129464870338786,237,1,-0.17130794968530333,38482,1,36524,0
-0.12022314590303312,13,-0.09725668471171574,-0.3318282885853569,-0.12748118714282228,-0.14632252916296304,-0.1390011941676957,1,-1.2148275888487834,249,5.0,1,605.03,0.31248095694152145,238,1,-0.17130794968530333,9683,0,34311,0
-0.10992432690240592,4,-0.017139340578969157,-0.31546278637163605,-0.1360725709804705,-0.13858938518252584,-0.13457247508983963,3,-0.8783594631760886,129,3.0,2,1303.01,0.5777552596702138,117,1,-0.14476214538029503,27090,5,47838,0
-0.10992432690240592,4,-0.017139340578969157,2.24839316699371,-0.1360725709804705,-0.13858938518252584,-0.13457247508983963,3,-1.0129467134451666,250,3.0,2,1303.01,0.6670838816936296,118,1,-0.14476214538029503,29399,4,46806,0
-0.10992432690240592,4,-0.017139340578969157,2.24839316699371,-0.1360725709804705,-0.13858938518252584,-0.13457247508983963,1381,-0.8783594631760886,380,5.0,2,1303.01,-0.09003503436217669,119,1,-0.14476214538029503,41933,5,33421,0
-0.10992432690240592,4,-0.017139340578969157,2.24839316699371,-0.1360725709804705,-0.13858938518252584,-0.13457247508983963,3,-0.8783594631760886,393,5.0,2,1303.01,0.27958001411512806,-1,1,-0.14476214538029503,31340,2,45474,0
